words
ab
aber
anbieten
das Angebot
anderen
abgeben
anders
ändern
abholen
abschließen
Achtung
die Adresse
anfangen
der Anfang
die Angst
ankommen
die Ahnung
aktiv
aktuell
alles
alle
anmachen
die Ankunft
sich anmelden
die Anmeldung
der Anrufbeantworter
anrufen
der Anruf
allein
als
also
der Anschluss
ansehen
antworten
die Antwort
alt
das Alter
die Ampel
an
die Anzeige
der Anzug
der Apfel
die Apotheke
der Apparat
aus
arbeiten
die Arbeit
die Ausbildung
der Ausflug
arbeitslos
sich ärgern
ausfüllen
arm
der Arm
der Ausgang
ausgeben
der Artikel
ausgehen
auch
auf
die Auskunft
das Ausland
ausmachen
auspacken
sich ausruhen
auf jeden Fall
auf keinen Fall
aussehen
aufhören
aufmachen
außer
außerdem
außerhalb
aufpassen
aussprechen
aussteigen
aufräumen
aufregend
aufstehen
die Ausstellung
austragen
der Ausweis
der Aufzug
das Auge
das Auto
die Autobahn
der Automat
automatisch
das Baby
der Babysitter
beenden
beginnen
begründen
bei
backen
die Bäckerei
das Bad
beide
baden
die Bahn
bekannt
die Bekannte (weiblich)
der Bekannte (männlich)
der Bahnhof
der Bahnsteig
bekommen
bald
der Balkon
beliebt
der Ball
die Banane
benutzen
die Band
bequem
die Bank (Geldinstitut)
die Bank (Sitzgelegenheit)
bar
beraten
der Basketball
der Berg
basteln
der Bauch
bauen
berichten
der Beruf
berühmt
der Baum
der Bescheid
die Baustelle
beschreiben
beantworten
sich bedanken
bedeuten
sich beschweren
sich beeilen
besetzt
besichtigen
bleiben
besonders
der Bleistift
bestätigen
blöd
blond
bestehen
der Blog
die Blume
die Bluse
bestellen
die Bohne
böse
der Besuch
besuchen
braten
das Bett
brauchen
sich bewerben
die Bewerbung
der Brief
bewölkt
die Briefmarke
die Brille
bezahlen
bringen
die Bibliothek
das Brot
das Bier
das Bild
das Brötchen
billig
die Brücke
die Birne
das Buch
bis
bisschen
buchen
der Buchstabe
bitte
die Bitte
bitten
buchstabieren
bunt
bitter
das Büro
das Blatt
der Bus
die Butter
das Café
die Cafeteria
chatten
das Datum
dauern
denken
der Chef
die Chefin
der Club
das Comic
denn
deshalb
deutlich
der Computer
die Creme
dick
das Ding
direkt
da
die Disco
diskutieren
dabei sein
darüber
doch
darauf
dagegen sein
dafür sein
damals
das Doppelzimmer
die Dame
daneben
der Dank
das Dorf
dort
dorther
dorthin
danke
draußen
danken
dann
dringend
drinnen
dass
die Datei
drüben
drücken
drucken
das Einkaufszentrum
der Drucker
dumm
einladen
dunkel
die Einladung
einmal
einpacken
dünn
durch
einsteigen
dürfen
sich eintragen
der Durst
die Dusche
der Eintritt
einverstanden sein
sich duschen
das E-Book
einzeln
das Einzelkind
das Einzelzimmer
echt
die Ecke
einziehen
egal
das Eis
die E-Mail
die Ehefrau
der Ehepartner
der Ehemann
das Ei
eigenes
der Empfänger
empfehlen
eigentlich
das Ende
eilig
einfach
enden
endlich
eng
der Eingang
einige
sich entschuldigen
einkaufen
die Entschuldigung
das Erdgeschoss
falsch
die Erfahrung
sich erinnern
die Familie
der Familienname
erkältet sein
fantastisch
der Fan
erklären
die Farbe
erlauben
erlaubt sein
die Erlaubnis
fast
faul
fehlen
die Ermäßigung
erreichen
der Fehler
die Feier
der Feierabend
der Feiertag
feiern
erst
der Erwachsene
das Fenster
die Ferien
erzählen
fernsehen
essen
das Essen
der Fernseher
etwas
fertig sein
das Fest
das Fach
fahren
abfahren
die Abfahrt
