words
ab
abbiegen
die Abbildung
aber
der Abfall
abfahren
das Abgas
abgeben
abhängen
abhängig
abheben
abholen
das Abitur
ablehnen
abmachen
abnehmen
abonnieren
das Abonnement
der Abschluss
der Absender
die Absicht
absolut
abstimmen
die Abteilung
abwaschen
ach
achten auf
die Achtung
die Adresse
die Agentur
ähnlich
aha
die Ahnung
die Aktion
aktiv
die Aktivität
aktuell
akzeptieren
der Alarm
der Alkohol
alles
allein
aller
allerdings
allgemein
der Alltag
das Alphabet
als
als ob
also
alt
das Alter
das Altenheim
das Altersheim
an
die Ampel
das Amt
sich amüsieren
analysieren
anbieten
das Angebot
andere
andererseits
ändern
die Änderung
anders
anerkennen
anfangen
der Anfang
anfangs
die Angabe
angeben
der Angehörige
angenehm
die Angst
ängstlich
anhaben
ankommen
die Ankunft
die Anlage
anmelden
die Anmeldung
die Anrede
anrufen
der Anruf
der Anrufbeantworter
die Ansage
anschaffen
anschließen
der Anschluss
anschnallen
ansehen
ansprechen
der Anspruch
anstellen
der Angestellte
sich anstrengen
anstrengend
der Antrag
anwenden
anwesend
antworten
die Antwort
der Anwalt
anzeigen
die Anzeige
anziehen
der Anzug
das Apartment
der Apfel
die Apotheke
der Apparat
der Appetit
die Aprikose
arbeiten
die Arbeit
der Arbeiter
der Arbeitgeber
der Arbeitnehmer
die Arbeitserlaubnis
arbeitslos
die Arbeitslosigkeit
der Arbeitsplatz
die Arbeitsstelle
ärgern
der Ärger
ärgerlich
arm
der Arm
die Art
der Artikel
der Arzt
das Asyl
atmen
auch
auf
der Aufenthalt
auffallen
die Aufforderung
aufführen
die Aufgabe
aufgeben
aufhalten
aufheben
aufhören
auflösen
aufmerksam
aufnehmen
die Aufnahme
aufpassen
aufräumen
aufregen
auf sein
aufstehen
der Auftrag
auftreten
aufwachen
aufwärts
der Aufzug
das Auge
der Augenblick
aus
die Ausbildung
der Ausbildungsplatz
ausgebildet
ausdrucken
der Ausdruck
auseinander
die Ausfahrt
ausfallen
der Ausflug
ausfüllen
ausgeben
die Ausgabe
ausgehen
der Ausgang
die Aushilfe
die Auskunft
das Ausland
der Ausländer
ausländisch
ausmachen
die Ausnahme
ausreichend
ausrichten
ausschließen
ausschließlich
aussehen
aus sein
außen
außer
äußerlich
außerdem
außerhalb
die Aussicht
aussprechen
die Aussprache
ausstellen
die Ausstellung
aussuchen
auswählen
der Ausweis
ausziehen
der Auszubildende
das Auto
die Autobahn
der Automat
automatisch
das Baby
der Babysitter
backen
die Bäckerei
baden
das Bad
die Badewanne
die Bahn
die S-Bahn
die Straßenbahn
die U-Bahn
der Bahnhof
der Bahnsteig
bald
der Balkon
der Ball
die Banane
die Bank
die Bankleitzahl
bar
das Bargeld
der Bart
die Batterie
der Bauch
bauen
der Bau
die Baustelle
der Bauer
der Baum
beachten
der Beamte
beantragen
beantworten
sich bedanken
bedeuten
bedienen
die Bedienungsanleitung
die Bedingung
sich beeilen
beenden
sich befinden
befreit
befriedigend
begegnen
begeistert
beginnen
der Beginn
begleiten
begrenzt
begründen
die Begründung
begrüßen
behalten
behandeln
behindern
die Behörde
bei
beide
das Bein
beinahe
das Beispiel
zum Beispiel
der Beitrag
bekannt
der Bekannte
bekannt geben
bekommen
der Beleg
beleidigen
beliebt
bemerken
benötigen
benutzen
das Benzin
beobachten
bequem
beraten
die Beratung
berechnen
berechtigt
der Bereich
bereit
bereits
der Berg
berichten
der Bericht
der Beruf
beruflich
berufstätig
beruhigen
berühmt
beschädigen
beschäftigen
die Beschäftigung
der Bescheid
Bescheid sagen
Bescheid geben
die Bescheinigung
beschließen
beschränken
beschreiben
die Beschreibung
sich beschweren
besetzen
besichtigen
besitzen
besondere
besonders
besorgen
besprechen
die Besprechung
die Besserung
bestätigen
die Bestätigung
bestellen
bestimmt
bestrafen
besuchen
der Besuch
sich beteiligen
der Betrag
betreuen
die Betreuung
der Betrieb
der Betriebsrat
betrügen
das Bett
betrunken
die Bevölkerung
bevor
bewegen
die Bewegung
beweisen
der Beweis
sich bewerben
die Bewerbung
der Bewohner
bezahlen
die Beziehung
die Bibliothek
das Bier
der Biergarten
bieten
das Bild
der Bildschirm
billig
biologisch
die Birne
bis
ein bisschen
bitten
die Bitte
bitte
bitter
blass
das Blatt
blau
bleiben
der Bleistift
der Blick
der Blitz
blond
bloß
blühen
die Blume
die Bluse
bluten
das Blut
der Boden
der Bogen
die Bohne
das Bonbon
das Boot
die Botschaft
böse
braten
der Braten
brauchen
braun
brechen
breit
die Breite
bremsen
die Bremse
brennen
der Brief
der Briefkasten
die Briefmarke
der Briefträger
der Briefumschlag
die Brille
bringen
die Broschüre
das Brot
das Brötchen
die Brücke
der Bruder
die Brust
das Buch
die Buchhandlung
die Bücherei
buchen
buchstabieren
der Buchstabe
bunt
der Bürger
das Bürgerbüro
der Bürgersteig
das Büro
die Bürste
die Zahnbürste
der Bus
die Butter
das Café
das Camping
die CD
die CD-ROM
die Chance
chatten
der Chef
die Chemie
circa
der Club
das Cola
die Couch
der Cousin
der Computer
die Creme
da
da sein
dabei sein
das Dach
dafür
dafür sein
dagegen sein
daher
dahin
damals
die Dame
damit
danach
daneben
danken
der Dank
danke
dankbar
dann
dass
die Datei
das Datum
Daten
dauern
die Decke
die Demokratie
demokratisch
denken
denn
derselbe
deshalb
je desto
deswegen
deutlich
die Diät
dicht
dick
der Dieb
der Dienst
dies
der Diesel
diesmal
digital
das Ding
direkt
der Direktor
die Diskothek
diskutieren
die Diskussion
doch
der Doktor
doppelt
Doppel
das Dorf
dort
dorthin
die Dose
draußen
drehen
dringend
drinnen
die Drogerie
drüben
drucken
der Drucker
drücken
der Druck
dumm
dunkel
dünn
durch
durcheinander
die Durchsage
durchschnittlich
dürfen
der Durst
duschen
die Dusche
die DVD
eben
ebenfalls
ebenso
echt
die EC-Karte
Karte
die Ecke
egal
die Ehe
die Ehefrau
der Ehegatte
das Ehepaar
eher
die Ehre
das Ei
eigen
eigentlich
sich eignen
eilen
die Eile
eilig
ein
die Einbahnstraße
einbrechen
der Einbrecher
der Einbruch
eindeutig
der Eindruck
einerseits
einfach
die Einfahrt
einfallen
der Einfall
der Einfluss
die Einführung
der Eingang
einig
einigen
einkaufen
der Einkauf
das Einkommen
einladen
die Einladung
einmal
einnehmen
die Einnahme
einpacken
einrichten
die Einrichtung
einsam
einschalten
einschließlich
das Einschreiben
einsetzen
einsteigen
einstellen
eintragen
eintreten
der Eintritt
einverstanden
der Einwohner
einzahlen
einzeln
Einzelkind
die Einzelheit
einzig
einziehen
das Eis
das Eisen
die Eisenbahn
elegant
elektrisch
Elektro
elektronisch
die Eltern
der Elternabend
der Elternbeirat
die E-Mail
empfangen
der Empfang
empfehlen
die Empfehlung
enden
das Ende
endgültig
endlich
die Energie
eng
der Enkel
entdecken
entfernt
die Entfernung
entgegenkommen
enthalten
entlang
entlassen
entscheiden
die Entscheidung
sich entschließen
entschlossen sein
entschuldigen
die Entschuldigung
entsorgen
entspannend
entstehen
enttäuschen
die Enttäuschung
entweder oder
entwickeln
die Entwicklung
die Erde
das Erdgeschoss
das Ereignis
erfahren
die Erfahrung
erfinden
die Erfindung
der Erfolg
erfolgreich
erfordern
erforderlich
erfüllen
ergänzen
das Ergebnis
erhalten
erhöhen
die Erhöhung
sich erholen
die Erholung
erinnern
die Erinnerung
sich erkälten
erkältet sein
erkennen
erklären
die Erklärung
erkundigen
erlauben
die Erlaubnis
erleben
das Erlebnis
erledigen
erleichtern
die Ermäßigung
ernähren
die Ernährung
ernst
eröffnen
die Eröffnung
erreichen
der Ersatz
das Ersatzteil
erschöpft
erschrecken
ersetzen
erst
ersten
erstellen
der Erwachsene
erwarten
erzählen
erziehen
die Erziehung
es
essen
das Essen
der Essig
etwa
etwas
eventuell
ewig
der Experte
der Export
extra
extrem
die Fabrik
das Fach
der Fachmann
die Fachleute
die Fähre
fahren
die Fahrbahn
der Fahrer
die Fahrkarte
der Fahrplan
das Fahrrad
die Fahrschule
das Fahrzeug
fair
fallen
der Fall
fällig
falls
falsch
die Familie
der Familienstand
der Fan
fangen
die Fantasie
die Farbe
farbig
fast
faul
faxen
das Fax
fehlen
der Fehler
feiern
die Feier
der Feierabend
der Feiertag
das Fenster
die Ferien
die Fernbedienung
fernsehen
das Fernsehen
der Fernseher
fertig
fest
das Fest
die Festplatte
festhalten
festlegen
festnehmen
das Festnetz
festsetzen
feststellen
fett
das Fett
feucht
das Feuer
das Feuerzeug
die Feuerwehr
das Fieber
die Figur
der Film
finanzieren
finanziell
finden
der Finger
die Firma
der Fisch
fit
die Fitness
flach
die Fläche
die Flasche
der Fleck
das Fleisch
fleißig
